,BSSH_NM,ADDR,HG_ASGN_LV
138,호식이 두마리 치킨 율하점,대구광역시 동구 율하동로21길 42-1(1층 율하동),매우우수
139,배스킨라빈스,경상남도 양산시 덕계동 991,매우우수
140,푸라닭목포북항점,전라남도 목포시 원산중앙로 52(1층 104호 산정동),매우우수
141,투썸플레이스거북섬점,"경기도 시흥시 거북섬2길 5(시흥시 MTV 프라자 3층 304, 305, 306호 정왕동)",매우우수
142,호식이두마리치킨 신서점,대구광역시 동구 동호로9길 57(1층 신서동),매우우수
143,함께냥,경기도 오산시 내삼미로80번길 14(1층 수청동),매우우수
144,비에이치씨(BHC)치킨,서울특별시 광진구 용마산로 84(1층 중곡동),매우우수
145,네네후라이드치킨행복점,"대전광역시 서구 정림서로 162-18(정림동,강변들 보람@ 상가 106호)",매우우수
146,네네치킨청대점,"충청북도 청주시 청원구 상당로232번길 32(우암동,1층)",좋음
147,60계치킨선운송정점,광주광역시 광산구 선운중앙로 50(1층 108호 선암동),매우우수
148,폴바셋 롯데프리미엄아울렛 김해점,경상남도 김해시 장유로 469(롯데아울렛 1층 신문동),매우우수
149,다르다김밥.주먹밥 상무직영점,"광주광역시 서구 치평로 86(1층 치평동, 107호,108호일부)",우수
150,이디야,부산광역시 부산진구 서전로10번길 71(부전동),매우우수
151,교촌치킨 빛가람1호점,"전라남도 나주시 상야1길 20(주건축물제1동 1층 125호 빛가람동, 엘타워)",매우우수
152,배스킨라빈스 김해율하2지구점,경상남도 김해시 율하로 474(토마토빌딩 103호 장유동),매우우수
153,공차 대전탄방점,대전광역시 서구 문정로 70(1층 일부호 탄방동),매우우수
154,버거킹광주하남점,"광주광역시 광산구 풍영철길로 15(우산동,콜롬버스월드2층213-3호)",매우우수
155,BHC중곡점,서울특별시 광진구 능동로 327(중곡동),매우우수
156,푸라닭 청주내덕우암점,충청북도 청주시 청원구 대성로300번길 11(지하1층 내덕동),매우우수
157,GS25해남터미널점,전라남도 해남군 해남읍 해남로 11,좋음
