,BSSH_NM,ADDR,HG_ASGN_LV
545,멕시카나치킨 남악점,전라남도 무안군 삼향읍 대죽서로15번길 34(1층 106호),우수
546,60계충북진천점,충청북도 진천군 진천읍 남산8길 2-2,우수
547,두끼떡볶이 롯데프리미엄아울렛기흥점,경기도 용인시 기흥구 신고매로 124(롯데프리미엄아울렛기흥점 주건축물제1동 2층일부 고매동),매우우수
548,더벤티계산역점,인천광역시 계양구 주부토로 541(1층 113호 계산동),매우우수
549,이디야울산삼산초교점,울산광역시 남구 돋질로 410(1층 삼산동),매우우수
550,뚜레쥬르 카페구리갈매점,"경기도 구리시 산마루로 24(1층 104호 갈매동, 신성타워)",매우우수
551,이디야커피(압구정로데오역점),서울특별시 강남구 선릉로161길 20(1층 102호 신사동),우수
552,주식회사 키커피컴퍼니,서울특별시 송파구 올림픽로 240(롯데백화점 잠실점  지하1층 잠실동),매우우수
553,롤링파스타 광교상현역점,경기도 용인시 수지구 광교중앙로 308(광교 에스타워 2층 201호 상현동),매우우수
554,성성식당 미사강변점,경기도 하남시 미사강변중앙로 193(에코브리지 1층 105호 망월동),매우우수
555,파리바게뜨 인천관교점,인천광역시 미추홀구 주승로 242(1층 관교동),매우우수
556,(주)휘게문고대구지점,대구광역시 달서구 월배로 232(롯데백화점 대구상인점 7층 상인동),매우우수
557,멕시카나삼호점,전라남도 영암군 삼호읍 대불주거1로4길 19(101호),좋음
558,이디야커피목포기독병원점,전라남도 목포시 백년대로297번길 7(1층 상동),매우우수
559,배스킨라빈스(울산화봉점),울산광역시 북구 화봉로 75(지상1층 화봉동),매우우수
560,투썸플레이스울산상안점,울산광역시 북구 신답로 31(지상1-2층 상안동),매우우수
561,투썸플레이스명촌점,울산광역시 북구 명촌로 44(지상1~2층 명촌동),매우우수
562,60계치킨 당감부암점,"부산광역시 부산진구 당감서로 66-1(당감동,지상1층)",매우우수
563,파리바게뜨부산덕천점,부산광역시 북구 만덕대로 16(1층 덕천동),매우우수
564,배스킨라빈스 구남역점,부산광역시 북구 백양대로 1057(미래 1층 구포동),매우우수
565,교촌치킨화명1호점,부산광역시 북구 화명대로 108(유림아파트 상가동 1층 102호 화명동),우수
566,BHC Beer(블루밍점),경상남도 함안군 칠원읍 오곡로 94(칠원그랜드쇼핑 105호),매우우수
567,교촌치킨 칠원점,경상남도 함안군 칠원읍 용산1길 27(1층),매우우수
568,호식이두마리치킨 칠서점,경상남도 함안군 칠서면 함의로 7(칠서기공아파트 상가 104호),매우우수
569,함안(순천방향)휴게소 15호점,경상남도 함안군 군북면 현포로 205-1(함안휴게소 순천방향),매우우수
570,화성시니어클럽 노노카페(진안도서관점),경기도 화성시 병점중앙로 229(4층 일부호 진안동),매우우수
571,노노카페(동탄복합문화센터점),경기도 화성시 노작로 134(지1층 일부호 반송동),매우우수
572,교촌치킨(발안1호점),경기도 화성시 향남읍 행정서로3길 4-32(1층 일부호),매우우수
573,오산청년커피,경기도 오산시 북삼미로 42(아스달연대기 드라마세트장 2층 내삼미동),매우우수
574,아마스빈오산시청점,경기도 오산시 성호대로 130(중앙씨티월1 109호 원동),매우우수
575,비에이치씨(bhc)오산원동점,경기도 오산시 운천로 54-16(1층 원동),매우우수
576,베스트생갈비찜앤찜닭,경기도 오산시 오산로 193(탑프라자 1층 116호 오산동),매우우수
577,동대문엽기떡볶이 안산사이점,경기도 안산시 상록구 항가울로 46(1층 일부 사동),매우우수
578,교촌치킨(초지신도시점),"경기도 안산시 단원구 초지로 116(초지동, 미강프라자 102,103,104호)",매우우수
579,교촌치킨고잔2호,경기도 안산시 단원구 와동1로 49(와동),매우우수
580,배스킨라빈스 안산트레이더스점,경기도 안산시 단원구 중앙대로 397(이마트트레이더스 신길점 2층 일부 신길동),매우우수
581,테그42 부천옥길점,경기도 부천시 옥길로 110-11(O&S골드타워 1층 117호 옥길동),매우우수
582,코레일유통(주) 카페스토리웨이(Cafe StoryWay),경기도 부천시 역곡로 1(2층 역곡동),매우우수
583,파리바게트성산시영점,"서울특별시 마포구 월드컵북로 218(성산동, 1층)",매우우수
584,파파존스 피자 성수점,서울특별시 성동구 왕십리로 114(2층 202호 성수동1가),매우우수
585,아비꼬 롯데아울렛고양점,경기도 고양시 덕양구 권율대로 420(이케아 고양점 P1층 일부호 도내동),매우우수
586,베스킨라빈스31,"전라남도 광양시 항만11로 70(중동,홈플러스광양점내2층중1층)",매우우수
587,던킨 대전관평점,대전광역시 유성구 테크노중앙로 50(1층 B103호 관평동),매우우수
588,전통황실양고기,충청북도 청주시 서원구 2순환로 1618(2층 미평동),좋음
589,배스킨라빈스(일산킨텍스점),"경기도 고양시 일산서구 호수로 817(대화동,레이킨스몰 홈플러스 지하1층일부)",매우우수
590,60계망원점,"서울특별시 마포구 희우정로 77(상가동 지하1층 111호 망원동, 마포한강아이파크)",매우우수
591,빽다방 행당무학점,서울특별시 성동구 행당로 121(1층 행당동),매우우수
592,호식이두마리치킨(예산점),충청남도 예산군 예산읍 역전로 133,매우우수
593,60계치킨경기연천전곡점,경기도 연천군 전곡읍 전곡로144번길 5(1층),매우우수
594,롯데푸드(주)파스퇴르밀크바구리점,"경기도 구리시 경춘로 지하 261(인창동, 롯데백화점 구리점 지하1층)",매우우수
595,배스킨라빈스 광양창덕점,전라남도 광양시 광양읍 용강로 29(2층중 1층 일부),매우우수
596,파리바게뜨예산산성점,충청남도 예산군 예산읍 역전로 137,우수
597,60계 치킨 미평점,"전라남도 여수시 만성로 75-1(미평동, 1층)",매우우수
598,투썸플레이스청주방서메디컬타워점,충청북도 청주시 상당구 2순환로2031번길 6-20(1층 107-110호 방서동),매우우수
599,닭장수 후라이드 신금호점,서울특별시 성동구 금호산길 66-1(1층 101호 금호동2가),우수
600,팀 베리,"경기도 구리시 경춘로 261(인창동, 롯데쇼핑 지하1층)",매우우수
601,더벤티동두천지행역점,경기도 동두천시 동두천로 119(지행역프라자 1층 102호 지행동),매우우수
602,던킨도너츠 광양읍점,전라남도 광양시 광양읍 희양현로 55,매우우수
603,푸라닭충남예산점,충청남도 예산군 예산읍 역전로140번길 24,우수
604,이디야 송강점,대전광역시 유성구 구즉로 65(지상1층 송강동),매우우수
605,교촌치킨,충청북도 청주시 서원구 청남로 1992(1층 분평동),매우우수
606,호식이 두마리 치킨(옥수점),서울특별시 성동구 한림말길 31(상가동 1층 110호 옥수동),매우우수
607,호식이두마리치킨 공덕점,"서울특별시 마포구 만리재로 74(상가2동 1층 113호 신공덕동, 신공덕2차삼성래미안)",좋음
608,상무초밥여수점,전라남도 여수시 망마로 63(신기동),매우우수
609,60계 고양벽제점,"경기도 고양시 덕양구 푸른마을로 6(112호 고양동, 고양e-Plaza)",매우우수
610,초록면옥,"경기도 구리시 경춘로 261(인창동, 롯데백화점 8층)",우수
611,아메리칸에그샌드,경기도 용인시 기흥구 신고매로 124(롯데프리미엄아울렛 기흥점 주건축물 제1동 지하1층 일부호 고매동),매우우수
612,덮덮,울산광역시 중구 중앙길 185(2층 옥교동),매우우수
613,파리바게뜨 일광해빛로점,부산광역시 기장군 일광면 해빛1로 74(107호),매우우수
614,60계동인천역북부점,인천광역시 동구 솔빛로 4(1층 송현동),매우우수
615,우리제면소,경기도 용인시 기흥구 신고매로 124(롯데프리미엄아울렛 기흥점 주건축물 제1동 지하1층 일부호 고매동),매우우수
616,60계치킨울산신정옥동점,"울산광역시 남구 동산로69번길 14(101호 신정동, 문수로2차아이파크2단지)",좋음
617,제천인두꺼비식당,경기도 용인시 기흥구 신고매로 124(롯데프리미엄아울렛기흥점 주건축물제1동 지하1층 일부호 고매동),매우우수
618,피자헛 부산기장점,"부산광역시 기장군 일광면 해빛1로 5(104호,105일부호)",매우우수
619,처갓집양념치킨 반구점,울산광역시 중구 화합로 399(1층 반구동),매우우수
620,손군부대찌개 송림점,인천광역시 동구 송림로 82(1층 송림동),우수
621,삼삼떡볶이평촌점,경기도 안양시 동안구 평촌대로 132(제일빌딩 1층 103호 평촌동),좋음
622,페리카나 치킨,"인천광역시 연수구 원인재로 315(연수동,1동 연수택지개발 13BL 주공상가103지상1)",우수
623,교촌치킨,"인천광역시 부평구 백범로468번길 7-2(십정동,씨티빌딩 1층)",매우우수
624,BHC내서중리점,경상남도 창원시 마산회원구 내서읍 죽암로 37-1(지하1층),매우우수
625,더벤티 기장교리점,부산광역시 기장군 기장읍 차성로 430(1층),매우우수
626,이디야커피,"울산광역시 남구 대공원로 241(지상1층 102호,103호호 신정동)",매우우수
627,더벤티태화시장점,울산광역시 중구 평동길 4(1층 우정동),매우우수
628,호식이두마리치킨 영종하늘도시점,인천광역시 중구 월촌길 76(1층 105호 중산동),매우우수
629,홍종흔베이커리 기흥롯데아울렛점,경기도 용인시 기흥구 신고매로 124(롯데프리미엄아울렛 기흥점 주건축물 제1동 지하1층 일부호 고매동),매우우수
630,경양카츠 부평점,"인천광역시 부평구 부평문화로80번길 12(부평동,1층)",매우우수
631,롯데컬처웍스(주)롯데시네마 인천아시아드 스위트샵,인천광역시 서구 봉수대로 806(인천아시아드주경기장 연희동),매우우수
632,BHC치킨(경대점),"경상남도 창원시 마산합포구 월영북15길 34(홍문동,지상1층)",우수
633,파리바게뜨,"인천광역시 연수구 원인재로 81(동춘동,럭키삼성아상가 105호,117호지상1층)",매우우수
634,아프리카,경기도 용인시 기흥구 신고매로 124(롯데프리미엄아울렛 기흥점 주건축물 제1동 지하1층 일부호 고매동),매우우수
635,파리바게뜨,울산광역시 남구 문수로335번길 8(1층 옥동),매우우수
636,배스킨라빈스 영종스카이점,"인천광역시 중구 하늘달빛로 82(해송스카이 1층 103,104호 중산동)",매우우수
637,이디야 청운대점,"인천광역시 미추홀구 숙골로112번길 2(드림프라자 107,108호 도화동)",매우우수
638,비에이치씨태화점,울산광역시 중구 태화로 150(1층 태화동),매우우수
639,달토끼의 떡볶이흡입구역 부평청천점,인천광역시 부평구 마장로 412(1층 102호 청천동),매우우수
640,60계치킨 인천서구청점,인천광역시 서구 승학로236번길 28(심곡동),매우우수
641,롯데리아서재점,대구광역시 달성군 다사읍 서재본길 4-1(1층),좋음
642,엔제리너스광명철산점,"경기도 광명시 오리로 870(철산동, 외1필지 1층)",매우우수
643,목우촌웰빙마을,"충청북도 청주시 흥덕구 월명로188번길 36(봉명동,1층)",우수
644,파리바게뜨개신점,"충청북도 청주시 서원구 모충로12번길 9-13(1층 1-3,1-4호 개신동, 한사랑아파트)",매우우수
645,비비큐치킨옥계사랑점,"경상북도 구미시 옥계북로 59(상가동 104호 옥계동, 현진에버빌엠파이어아파트)",매우우수
646,푸라닭 청주충북대점,충청북도 청주시 서원구 1순환로 688(주성빌딩 1층 사창동),매우우수
647,교촌치킨인동점,"경상북도 구미시 여헌로 98-1(인의동,2층)",매우우수
648,먹대장,인천광역시 남동구 문화서로 41(1층 구월동),우수
649,대보유통(서울)추풍령(서울)휴게소한식/양식,경상북도 김천시 봉산면 경부고속도로 214-1,매우우수
650,"대보유통(주)추풍령(서울)휴게소라면,우동/칼국수",경상북도 김천시 봉산면 경부고속도로 214-1(추풍령휴게소 서울방향 1층),매우우수
651,화서(상주방향)휴게소 두촌가마솥밥,경상북도 상주시 화서면 터골길 51-25,매우우수
652,트리핀,충청남도 아산시 배방읍 희망로 100(외 126필지 천안아산역1),우수
653,추풍령(서울)휴게소할리스,경상북도 김천시 봉산면 경부고속도로 214-1,매우우수
654,롯데리아영등포역사점,서울특별시 영등포구 경인로 846(3층 영등포동),매우우수
655,화서(상주방향)휴게소 미도어묵,경상북도 상주시 화서면 터골길 51-25,매우우수
656,던킨도너츠동군산병원점,전라북도 군산시 조촌로 149(조촌동),매우우수
657,센텀시티삼성홈플러스배스킨라빈스,"부산광역시 해운대구 센텀동로 6(우동, 홈플러스센텀시티점1층)",매우우수
658,한국맥도날드(유)대전부사디티점,대전광역시 중구 충무로 139(1~2층 부사동),매우우수
659,파리바게뜨전주남도점,전라북도 전주시 덕진구 기린대로 400(남도빌딩 1층 일부호 금암동),매우우수
660,대보유통(주)추풍령(서울)휴게소빅찹핫도그,경상북도 김천시 봉산면 경부고속도로 214-1(추풍령휴게소 서울방향 1층),매우우수
661,뚜쥬루과자점갤러리아센터시티,"충청남도 천안시 서북구 공원로 227(지하1층 불당동, 갤러리아백화점)",매우우수
662,크리스피크림도넛 인천구월점,"인천광역시 남동구 예술로 138(이토타워 1층 107호,108호,109호 구월동)",매우우수
663,화서(상주방향)휴게소(분식),경상북도 상주시 화서면 터골길 51-25,매우우수
664,던킨도너츠,전라북도 군산시 궁포1로 24-9(엔비빌딩 108호 조촌동),매우우수
665,호식이두마리치킨 노은점,대전광역시 유성구 노은동로79번길 58(노은동),매우우수
666,대보유통(주)추풍령(서울)간식코너,경상북도 김천시 봉산면 경부고속도로 214-1(1층),매우우수
667,오규당 신세계센텀점,부산광역시 해운대구 센텀남대로 35(신세계백화점센텀시티점 지하1층 우동),매우우수
668,미미(美味)수제돈카츠,"인천광역시 남동구 남동대로799번길 34(D동 3층 310호 구월동, 신영구월지웰시티푸르지오)",우수
669,안젤로피자파스타,충청남도 천안시 서북구 공원로 227(갤러리아 지하1층 불당동),매우우수
670,교촌치킨,"서울특별시 영등포구 선유로 62(대준빌딩 1,2층 문래동3가)",좋음
671,화서(상주방향)휴게소(한.양식),경상북도 상주시 화서면 터골길 51-25,매우우수
672,소미미단팥빵,경상북도 상주시 화서면 터골길 51-25,매우우수
673,선미당꽈배기,경상북도 김천시 봉산면 경부고속도로 214-1,매우우수
674,굽네치킨대전원내점,대전광역시 유성구 진잠로78번길 63(지상1층 원내동),매우우수
675,그린파이브 센텀시티점,부산광역시 해운대구 센텀남대로 35(신세계백화점센텀시티점 지하1층 일부호 우동),매우우수
676,육첩반상갤러리아센터시티점,충청남도 천안시 서북구 공원로 227(지하1층 불당동),매우우수
677,네네치킨조촌점,전라북도 군산시 조촌안5길 71(조촌동),매우우수
678,달보드레,충청남도 서산시 효행6길 19(서산지역자활센터 1층 동문동),우수
679,수준이다른치킨 익산센터점,전라북도 익산시 익산대로52길 10(남중동),좋음
680,순살만 공격 익산센터점,전라북도 익산시 익산대로52길 10(1층 남중동),좋음
681,떡볶이참잘하는집 떡참 익산신동점,"전라북도 익산시 동서로5길 75(신동,1층)",매우우수
682,호식이두마리치킨 순천오천점,전라남도 순천시 우석로 80(1층 덕월동),좋음
683,던킨도너츠 순천터미널점,전라남도 순천시 장천3길 13(1층 장천동),매우우수
684,BHC영광점,전라남도 영광군 영광읍 옥당로 98(1층 102호),좋음
685,던킨도너츠 전남영광점,전라남도 영광군 영광읍 중앙로 177-3,매우우수
686,던킨도너츠왕지점,"전라남도 순천시 백연길 96(조례동,1층)",매우우수
687,태풍물회,"대구광역시 달서구 조암로 48(원더풀스파랜드 2층 201,202호 월성동)",좋음
688,이디야커피용봉비엔날레점,광주광역시 북구 비엔날레로 101(1층 용봉동),매우우수
689,푸라닭 의정부송산3동점,경기도 의정부시 용민로 473(폴리프라자Ⅰ 지상1층 107호 민락동),매우우수
690,GS25 의정호국점,경기도 의정부시 태평로108번길 19(지상1층 의정부동),우수
691,이디야,"경기도 의정부시 시민로 81(의정부동,서부타워 101호)",매우우수
692,류이젠,경기도 구리시 경춘로 261(롯데백화점 구리점 지층 인창동),매우우수
693,강다짐대전노은점,대전광역시 유성구 노은로 154(노은프라자 지상1층 105호 지족동),매우우수
694,도담샌드,경기도 구리시 경춘로 261(롯데백화점 구리점 지하1층 인창동),매우우수
695,시키사이,"경기도 구리시 경춘로 261(지층 인창동, 롯데백화점 지하1층)",우수
696,강쥐네달콤한삼겹살,강원도 홍천군 홍천읍 갈마로7길 28,매우우수
697,네네치킨연향점,"전라남도 순천시 연향1로 16-1(연향동,1층)",매우우수
698,보물밥상,전라북도 완주군 삼례읍 삼례나들목로 338-33(삼례중학교 4호),매우우수
699,한국맥도날드(유) 성균관대점,서울특별시 종로구 창경궁로 241-1(지하1~지상3층 명륜2가),매우우수
700,처갓집양념치킨 타임월드점,"대전광역시 서구 갈마역로 22(1층 103,104호 둔산동)",매우우수
701,본도시락광주첨단점,광주광역시 광산구 앰코로 35(폭스존 1층 104호 쌍암동),우수
702,파리바게뜨순천대점,전라남도 순천시 중앙로 226(1층 매곡동),우수
703,유정카츠,전라북도 완주군 삼례읍 삼례나들목로 338-33(삼례중학교 3호),매우우수
704,BHC치킨 금호선호점,"광주광역시 서구 금부로95번길 14(쌍촌동,일층)",좋음
705,교촌치킨석림점,충청남도 서산시 호수공원9로 56(매화빌 1층 예천동),매우우수
706,이디야커피(신대방삼거리점),서울특별시 동작구 상도로 78(1층 대방동),매우우수
707,커피앳웍스 이마빌딩광화문점,서울특별시 종로구 종로1길 42(이마빌딩 1층 수송동),매우우수
708,푸라닭 백운점,광주광역시 남구 중앙로 69(1층 서동),매우우수
709,호식이두마리치킨 백운점,광주광역시 남구 중앙로 51(1층 서동),매우우수
710,밥꽃피다,전라북도 완주군 삼례읍 삼례나들목로 338-33(삼례중학교 2호),매우우수
711,벌크커피 풍암점,광주광역시 서구 풍암중앙로 41(1층 풍암동),매우우수
712,투썸플레이스광주첨단쌍암점,"광주광역시 광산구 임방울대로826번길 25(1층 105,106,107호 쌍암동)",매우우수
713,BHC(비에이치씨)치킨,전라북도 장수군 장수읍 구시장길 6-18,우수
714,파리바게뜨 연향점,"전라남도 순천시 연향중앙상가길 80(연향동,현대아파트상가 107호,108호1층)",좋음
715,비에이치씨치킨 동문점,충청남도 서산시 율지11로 16(1층 동문동),매우우수
716,수유리혼밥왕 여수여서문수점,전라남도 여수시 여서1로 72-1(여서동),매우우수
717,한국피자헛 창신점,서울특별시 종로구 지봉로 70-2(애니카랜드 1층 숭인동),우수
718,던킨도너츠 광주상무병원점,광주광역시 서구 운천로 225(지하1층 치평동),매우우수
719,롤링파스타첨단점,광주광역시 광산구 첨단중앙로 110(2층 206호 월계동),우수
720,덮고식당,전라북도 완주군 삼례읍 삼례나들목로 338-33(삼례중학교 1호),매우우수
721,스윗드오,서울특별시 동작구 노량진로 10(여성가족복합시설 스페이스살림 먹거리매장B2층 5호 대방동),매우우수
722,더 키친 일 뽀르노(The Kitchen IL Forno) 광화문점,"서울특별시 종로구 율곡로2길 7(수송동,서머셋팰리스 서울 지상 1층 102호)",매우우수
723,교촌치킨용당서면점,전라남도 순천시 삼산로 112(1층 용당동),매우우수
724,bhc(비에이치씨),전라북도 완주군 이서면 반교로 99(303호),좋음
725,백미당갤러리아천안센터시티점,충청남도 천안시 서북구 공원로 227(갤러리아 센터시티 8층 불당동),매우우수
726,교촌치킨태백1호점,강원도 태백시 황지로 13-1(황지동),매우우수
727,BHC 남산타운점,"서울특별시 중구 다산로 32(5동 1층 114-2호 신당동, 남산타운)",매우우수
728,파리바게트(태백중앙점),강원도 태백시 황지로 155(황지동),매우우수
729,스타벅스 무교로점,서울특별시 중구 무교로 15(1층 무교동),매우우수
730,동경스시,충청남도 천안시 서북구 공원로 227(지하1층 불당동),매우우수
731,남파고택 롯데백화점 명동점,서울특별시 중구 남대문로 81(13층 소공동),매우우수
732,비에이치씨(BHC)치킨태백황지점,강원도 태백시 태붐로 20(2층 황지동),매우우수
733,치킨플러스 대화점,경기도 고양시 일산서구 대산로226번길 30(1층일부호 대화동),매우우수
734,선향정샤브샤브,"충청남도 천안시 서북구 공원로 227(지하1층 불당동, 갤러리아백화점)",매우우수
735,Nook Restaurant,"서울특별시 중구 남대문로 56(명동2가, 지하1층)",매우우수
736,보문정,경상북도 안동시 풍천면 천년숲서로 15(1층 111호),매우우수
737,블루문,충청남도 천안시 서북구 공원로 227(지하1층 불당동),매우우수
738,베스킨라빈스행신서정점,"경기도 고양시 덕양구 중앙로 438(행신동, 아름터프라자 103호)",매우우수
739,60계치킨삼척점,강원도 삼척시 하실길 36(102호 교동),매우우수
740,W xyz bar,서울특별시 중구 남대문로 56(2층 명동2가),매우우수
741,이디야 길음뉴타운점,"서울특별시 성북구 길음로 74(상가동 1층 102,103호 길음동, 길음뉴타운)",매우우수
742,파파존스피자 개봉점,서울특별시 구로구 경인로 315(2층 개봉동),매우우수
743,보f,대구광역시 서구 북비산로 360(1층 비산동),좋음
744,파리바게뜨 개봉역점,서울특별시 구로구 개봉로20길 66(1층 개봉동),우수
745,비알코리아(주)던킨도너츠 한성대역사점,서울특별시 성북구 삼선교로 지하 1(삼선동1가),매우우수
746,60계치킨 발산등촌점,서울특별시 강서구 마곡동로3길 26(랑데르2 1층 107호 마곡동),좋음
747,60계 남산대봉점,"대구광역시 중구 대봉로 215(대봉동, 지상1층)",우수
748,갱스터피자,대구광역시 달서구 감삼남4길 26(주건축물제1동 1층 감삼동),우수
749,더벤티 월곡사거리점,서울특별시 성북구 월계로 46(1층 하월곡동),매우우수
750,엔제리너스 김포공항역사점,서울특별시 강서구 하늘길 지하 77(김포공항역 지하2층 512-205호 방화동),매우우수
751,배스킨라빈스(개봉중앙점),"서울특별시 구로구 개봉로 59(개봉동, 동남상가 1층 115,116호)",매우우수
752,60계칠곡북삼점,경상북도 칠곡군 북삼읍 북삼로 148(1층),우수
753,버거킹 경대병원역SK,"대구광역시 중구 달구벌대로 2194(대봉동, 지상1,2층)",매우우수
754,피자몰엔씨전주점,전라북도 전주시 완산구 전주객사5길 35(고사동),좋음
755,코레일유통(주)트리핀,"서울특별시 영등포구 경인로 862(영등포동,외11필지 영등포민자역사에이동 비호 영등포역 지상3층 국철맞이방내)",매우우수
756,폴 바셋 롯데몰수원점,"경기도 수원시 권선구 세화로 134(서둔동, 롯데몰수원점2층)",매우우수
757,60계치킨목감점,"경기도 시흥시 목감남서로 92-30(402동 지하2층 1호 산현동, 목감레이크 푸르지오)",매우우수
758,베스킨라빈스,부산광역시 사상구 가야대로 362(주례동),매우우수
759,푸라닭 부개2동점,인천광역시 부평구 부흥로 414(모아빌딩 1층 103호 부개동),매우우수
760,이디야커피 내발산점,"서울특별시 강서구 강서로 304(영종빌딩 1층 1,2,3호 내발산동)",매우우수
761,폴바셋영등포타임스퀘어점,서울특별시 영등포구 영중로 15(타임스퀘어 2층 교보문고 내 영등포동4가),매우우수
762,굽네치킨 수원역점,경기도 수원시 팔달구 매산로52번길 8-1(1층 매산로2가),매우우수
763,배스킨라빈스31,인천광역시 서구 원당대로 660-1(1층 당하동),매우우수
764,푸라닭광명소하점,경기도 광명시 하안로 108(에이스 광명타워 1층 115호 소하동),매우우수
765,던킨 괴정점,"부산광역시 사하구 사하로 189(상가동 110호 괴정동, 괴정어반푸르지오)",매우우수
766,도미노피자 세종다정점,"세종특별자치시 한누리대로 331(103~104호 나성동, SR파크센텀)",매우우수
767,이디야커피,부산광역시 동구 중앙대로274번길 7-3(초량동),우수
768,롯데리아 김포마산점,"경기도 김포시 김포한강8로148번길 5(유송타워 101, 102호 마산동)",매우우수
769,교촌치킨인계점,경기도 수원시 팔달구 인계로166번길 51(1층 인계동),우수
770,롯데컬처웍스(주)롯데시네마부평역사,"인천광역시 부평구 광장로 16(부평동,부평민자역사 본건물 7층)",매우우수
771,BHC 시흥 신천점,"경기도 시흥시 수인로3312번길 16(T동 지3층 T126호 대야동, 시흥 센트럴 푸르지오)",매우우수
772,원할머니보쌈(송림점),인천광역시 동구 샛골로210번길 9(1층 106호 송림동),좋음
773,폴 바셋 신세계백화점 타임스퀘어점,서울특별시 영등포구 영중로 15(신세계백화점타임스퀘어점 지하1층 영등포동4가),매우우수
774,동아대병원푸드코트점,부산광역시 서구 대신공원로 32(동아대학교병원 중정의료동 지하2층 동대신동3가),매우우수
775,버거킹 충남대병원DT점,"세종특별자치시 보듬5로 6(타이어뱅크세종청사점 주1동 1,2층 도담동)",좋음
776,이디야 수원아주대점,경기도 수원시 영통구 월드컵로 191(동문빌딩 1층 원천동),매우우수
777,60계치킨 인천청라지점,인천광역시 서구 청라루비로42번길 6-12(103호 경서동),매우우수
778,롯데컬처웍스(주) 롯데시네마 부평 스위트샵 6층,"인천광역시 부평구 대정로 66(629 호 일부 호 부평동, 다운타운 ELEVEN빌딩)",매우우수
779,신대청마루,"인천광역시 동구 방축로 105(송림동,산업용품유통센타 편익 C동 지하 21호)",좋음
780,코레일유통(주)카페스토리웨이,서울특별시 영등포구 국회대로 612(1층 당산동3가),매우우수
781,면앤면추억의가락국수,"경기도 광명시 광명역로 21(1층 일직동, 고속철도광명역 동편맞이방)",매우우수
782,롯데마트(주)시흥점조리식품,경기도 시흥시 비둘기공원로 28(2층 대야동),매우우수
783,브레댄코 율리점,울산광역시 울주군 청량읍 율리영해2길 24(1층),매우우수
784,크로앙쥬 안산고잔점,경기도 안산시 단원구 광덕대로 174(월드타운 106호 고잔동),매우우수
785,타요키즈카페 롯데백화점 중동점,"경기도 부천시 길주로 300(중동, 롯데백화점 8층 일부)",매우우수
786,진지아 갤러리아광교,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 9층 하동),매우우수
787,마이디주스 갤러리아광교,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 7층 하동),매우우수
788,60계치킨군포송정지구점,경기도 군포시 송부로34번길 23(1층 도마교동),우수
789,그리니쉬 가드닝카페,경기도 부천시 길주로 300(롯데백화점 8층 일부호 중동),매우우수
790,동대문불닭발땡초엽기떡볶이(안산와동점),"경기도 안산시 단원구 보화로 24(고잔동, 615)",매우우수
791,공차 롯데중동점,경기도 부천시 길주로 300(롯데백화점중동점 지하1층일부 중동),매우우수
792,진순자김밥,인천광역시 연수구 송도국제대로 123(현대프리미엄 아울렛 송도점 지하1층 일부호 송도동),매우우수
793,카페꼼마 갤러리아 광교,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 8층 하동),매우우수
794,60계 대부도점,경기도 안산시 단원구 대부황금로 1487(1층 대부북동),매우우수
795,광복수제비,경기도 부천시 길주로 300(롯데백화점 중동점 지하1층일부 중동),매우우수
796,이디야 송도아트포레점,"인천광역시 연수구 인천타워대로 257(아트포레 A동 119,122호 송도동)",매우우수
797,더벤티 과천위버필드점,경기도 과천시 별양상가2로 35(1층 105호 별양동),우수
798,파리바게뜨 대구세천점,"대구광역시 달성군 다사읍 세천로 161(105호, 106B호 프라임시티)",매우우수
799,리저브9(reverve9),"인천광역시 연수구 인천타워대로 257(아트포레 C동 C-201,202호 송도동)",매우우수
800,BHC부산만덕점,부산광역시 북구 만덕3로57번길 6(1층 만덕동),매우우수
801,배스킨라빈스 정관점,부산광역시 기장군 정관읍 정관2로 9(214동 B202일부호 이지더원2차),매우우수
802,투썸플레이스 장유율하원메이저,"경상남도 김해시 율하임수길 5(1층, 2층 일부 장유동)",매우우수
803,멕시카나치킨 이도점,"강원도 동해시 동해대로 4833(120동 108호 이도동, 동해 코아루 더 스카이)",우수
804,카페스토리웨이 동대구역사점,"대구광역시 동구 동대구로 550(4층 신암동, 동대구역 동대구역사)",우수
805,더벤티 기흥더샵점,"경기도 용인시 기흥구 기흥역로58번길 78(O동 1층 111호 구갈동, 기흥역 더샵)",매우우수
806,KFC이천터미널,경기도 이천시 중리천로 84(1층 중리동),매우우수
807,피자헛진주혁신점,"경상남도 진주시 에나로 142(솔레어빌딩 주1동 1층 106호,107호 충무공동)",매우우수
808,버거킹평택서정점,경기도 평택시 경기대로 1371(서정동),매우우수
809,크리스피크림도넛 창원중앙역점,"경상남도 창원시 의창구 상남로 381(용동,지상1층)",매우우수
810,역전우동0410(정자역점),경기도 성남시 분당구 성남대로331번길 7(정자스타빌딩 1층 102호 정자동),우수
811,엔제리너스롯데마트광교점,"경기도 수원시 영통구 센트럴타운로 85(지하1층 이의동, 롯데마트)",매우우수
812,소담한식고기간,경기도 오산시 원동로 6(파크스퀘어 143호 원동),좋음
813,두레,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 B1층 하동),매우우수
